ID,Result,Component1,Component2
1,𠃋,na,一
2,八,na,丿
3,丸,na,九
4,舌,ti,古
5,后,ti,右
6,升,ti,廾
7,禾,ti,木
8,丁,一,shugou
9,𠃌,一,shugou
10,二,一,一
11,十,一,丨
12,亠,一,丶
13,厂,一,丿
14,𠂇,一,丿
15,丈,一,乂
16,又,一,乂
17,乙,一,乚
18,三,一,二
19,艹,一,二
20,大,一,人
21,兀,一,儿
22,再,一,冉
23,万,一,勹
24,士,一,十
25,干,一,十
26,下,一,卜
27,西,兀,口
28,西,一,四
29,王,一,土
30,与,一,己
31,未,一,木
32,正,一,止
33,百,一,白
34,一,一,
35,也,七,丨
36,弋,七,丶
37,女,七,丿
38,尢,七,丿
39,切,七,刀
40,车,七,十
41,东,七,小
42,手,三,shugou
43,丰,三,丨
44,王,三,丨
45,止,上,丨
46,占,上,匚
47,占,上,口
48,长,不,gou
49,业,不,丨
50,助,且,力
51,两,丙,人
52,shugou,丨,gou
53,刂,丨,丨
54,卜,丨,丶
55,乚,丨,乛
56,上,丨,二
57,小,丨,八
58,忄,丨,八
59,羊,丨,兰
60,卩,丨,𠃌
61,韦,丰,shugou
62,非,丰,丨
63,青,丰,月
64,邦,丰,阝
65,讠,丶,shugou
66,冫,丶,ti
67,方,丶,万
68,氵,丶,冫
69,门,丶,匚
70,户,丶,尸
71,主,丶,王
72,乂,丿,na
73,人,丿,na
74,不,丿,下
75,亻,丿,丨
76,介,丿,个
77,儿,丿,乚
78,往,丿,住
79,么,丿,厶
80,夂,丿,又
81,开,丿,干
82,我,丿,找
83,勹,丿,𠃌
84,义,乂,丶
85,凶,乂,凵
86,希,乂,布
87,及,乃,na
88,飞,乙,冫
89,匕,乚,ti
90,了,乛,shugou
91,冖,乛,丶
92,买,乛,头
93,孑,了,ti
94,子,了,一
95,于,二,shugou
96,扌,二,shugou
97,丩,二,ti
98,凵,二,一
99,匚,二,丨
100,工,二,丨
101,元,二,儿
102,云,二,厶
103,示,二,小
104,去,云,丨
105,动,云,力
106,吾,五,口
107,礻,亠,个
108,文,亠,乂
109,亡,亠,乛
110,页,亠,贝
111,个,人,丨
112,夫,人,二
113,会,人,云
114,从,人,人
115,分,人,刀
116,什,人,十
117,伞,人,十
118,住,亻,主
119,他,亻,也
120,你,亻,尔
121,代,亻,弋
122,但,亻,旦
123,便,亻,更
124,休,亻,木
125,体,亻,本
126,低,亻,氐
127,件,亻,牛
128,们,亻,门
129,坐,从,土
130,您,你,心
131,几,儿,一
132,无,儿,二
133,兑,兄,八
134,六,八,一
135,厶,八,一
136,兰,八,三
137,父,八,乂
138,火,八,人
139,公,八,厶
140,关,八,天
141,交,六,乂
142,兴,六,八
143,穴,六,八
144,首,六,目
145,学,兴,子
146,觉,兴,见
147,巾,冂,丨
148,内,冂,人
149,禸,冂,厶
150,冋,冂,口
151,冉,冂,土
152,丙,内,一
153,肉,内,人
154,冏,冋,八
155,写,冖,与
156,宀,冖,丶
157,次,冫,欠
158,九,几,十
159,殳,几,又
160,山,凵,丨
161,出,凵,山
162,氏,刀,一
163,力,刀,丨
164,月,刀,二
165,召,刀,口
166,乃,刀,𠃌
167,别,刂,另
168,师,刂,币
169,到,刂,至
170,为,力,丶
171,加,力,口
172,饣,勹,shugou
173,勺,勹,丶
174,夕,勹,丶
175,勽,勹,人
176,欠,勹,人
177,句,勹,口
178,尔,勹,小
179,包,勹,巳
180,色,勹,巴
181,匃,勽,乛
182,七,匕,ti
183,冂,匚,gou
184,彐,匚,一
185,口,匚,丨
186,己,匚,乚
187,贝,匚,人
188,匹,匚,儿
189,见,匚,儿
190,四,匚,兀
191,田,匚,土
192,乐,匚,小
193,医,匚,矢
194,土,十,一
195,阝,十,三
196,千,十,丿
197,廾,十,丿
198,才,十,丿
199,卖,十,买
